species_name
Carcharodon carcharias
Galeocerdo cuvier
Rhincodon typus
Carcharhinus leucas
Family Sphyrnidae
Mitsukurina owstoni
Isurus oxyrinchus
Prionace glauca
Negaprion brevirostris
Cetorhinus maximus
Megachasma pelagios
